Ferry,Region,Type,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
F1 Manly,Northern Sydney,Adult,"276,206","243,181","250,792","302,524","313,364","385,528","437,077","311,624","298,774","319,851","245,223","221,866","272,254","228,534","261,275","291,855","294,887","357,252","386,423","270,888","297,131","275,528","202,043","171,919","218,795","189,099","217,786","205,417","249,945","334,400","330,957","254,959","261,669","258,533","190,492","177,835","195,034","181,143","205,349","223,356","208,795","263,472","247,309","166,509","106,619","12,233","30,397","47,068","47,027","41,681","46,309"
F1 Manly,Northern Sydney,Child/Youth,"33,714","23,633","31,397","40,777","23,931","55,904","83,388","20,435","20,449","44,275","16,527","24,594","47,132","23,707","39,387","38,153","23,354","55,179","71,794","19,255","22,591","41,239","13,729","18,341","37,776","18,417","22,052","24,956","19,743","47,085","67,056","18,874","18,528","38,269","13,105","20,201","34,527","18,680","21,096","34,510","18,365","44,303","58,196","13,461","7,112",400,"2,021","5,470","10,875","3,898","7,732"
F1 Manly,Northern Sydney,Concession,"20,538","10,683","9,944","10,522","10,598","10,856","10,894","9,121","12,002","11,285","10,321","8,716","9,226","10,080","10,464","10,168","9,217","10,067","10,380","7,629","11,276","9,633","8,100","6,218","7,468","7,746","7,629","6,817","7,475","8,536","8,758","6,766","9,435","8,128","7,025","6,330","6,472","6,977","7,366","7,969","6,654","7,645","7,104","5,785","4,491",373,"1,302","2,575","3,155","3,062","3,602"
F1 Manly,Northern Sydney,CTP,,,,,,,,,,,,,"2,138","1,976","2,049","2,459","2,019","2,307","2,466","2,067","7,052","7,479","5,601","5,993","4,012","3,564","3,796","4,279","5,294","14,724","18,745","13,145","14,428","14,854","11,494","12,645","10,926","13,514","21,519","41,578","46,550","70,682","75,027","54,155","36,337","4,490","11,988","20,957","22,048","19,828","22,805"
F1 Manly,Northern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,49,82,25,,4,,,,,,,,
F1 Manly,Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,1,1,1,,,,,,,,,3,4,,2,4,1,5,5,8,6,,,7,5,11,38,65,26,22,17,7,2,1,1,12,1,3
F1 Manly,Northern Sydney,Employee,"1,860","1,513","1,709","1,993","1,976","2,161","2,406","1,846","1,802","1,737","1,724","1,619","1,487","1,370","1,669","1,625","1,770","1,614","2,136","1,437","1,496","1,579","1,442","1,163","1,313","1,089","1,288","1,213","1,353","1,752","2,061","1,422","1,412","1,508","1,335","1,205","1,321","1,076","1,203","1,591","1,430","1,582","1,714","1,286",883,257,424,627,687,650,884
F1 Manly,Northern Sydney,Free Travel,413,513,644,737,756,714,833,663,636,688,773,723,609,597,714,626,727,669,794,604,640,629,572,490,558,543,568,561,577,694,858,696,686,664,694,569,516,495,566,683,644,665,713,523,307,96,172,265,276,255,311
F1 Manly,Northern Sydney,School Student,164,403,220,263,367,100,17,361,407,136,341,257,154,357,221,245,385,208,36,308,303,134,309,279,102,298,257,159,190,97,16,184,247,130,303,269,112,280,248,261,369,837,147,584,680,2,170,736,484,720,"1,041"
F1 Manly,Northern Sydney,Senior/Pensioner,"49,522","52,013","55,319","64,585","65,368","66,706","82,368","60,911","55,497","63,771","60,417","54,381","56,330","50,414","57,828","61,513","59,720","64,137","77,328","61,141","64,481","66,217","58,283","47,342","54,660","48,747","52,700","54,495","57,741","63,420","79,074","61,785","61,447","65,546","59,024","48,811","53,419","47,169","52,092","66,842","59,523","59,853","71,192","49,784","28,691","5,475","12,403","20,950","21,077","17,456","24,243"
F1 Manly,Northern Sydney,Sgl Trip Ferry Adult,"4,992","20,503","23,200","26,574","30,591","35,160","39,245","30,670","29,226","29,252","19,700","18,371","20,412","18,255","20,041","23,156","28,193","28,797","33,286","25,604","23,882","19,597","13,838","11,135","14,339","13,584","14,870","16,002","19,073","22,722","23,830","17,815","18,086","16,824","9,844","8,559","10,051","9,734","9,509","12,475","13,096","16,345","16,792","11,510","5,861",156,450,"1,143","1,588",377,777
F1 Manly,Northern Sydney,Sgl Trip Ferry Child/Youth,"1,046","3,674","4,055","3,790","2,419","7,347","8,852","2,428","2,842","6,017","2,133","3,630","6,099","3,731","3,583","3,482","2,389","5,928","7,569","2,253","2,936","4,506","1,585","2,322","4,448","2,646","2,388","2,728","1,804","4,931","5,973","1,743","1,680","3,978","1,047","1,945","3,653","2,125","1,779","2,703","1,540","4,256","5,194","1,159",774,94,271,713,"1,482",324,773
F2 Taronga Zoo,Sydney,Adult,"77,773","68,776","67,768","78,394","73,207","92,999","100,751","64,125","63,650","87,694","65,219","82,994","89,910","70,689","72,632","80,673","72,482","100,984","101,623","81,630","85,790","91,184","71,367","82,593","90,446","74,392","73,136","67,709","74,955","94,722","93,928","75,940","75,277","91,237","69,883","75,607","83,358","70,340","66,122","71,736","61,021","76,834","76,371","45,849","27,870","1,888","4,039","12,073","15,413","10,335","13,723"
F2 Taronga Zoo,Sydney,Child/Youth,"16,818","13,045","16,210","16,197","10,678","18,672","26,182","6,974","7,956","21,441","9,485","15,823","27,699","14,440","17,100","17,734","11,340","20,187","26,470","9,711","11,450","23,839","9,707","16,566","29,007","15,432","13,513","14,254","11,414","19,327","26,775","9,263","9,873","23,147","9,692","15,164","26,356","15,791","12,752","18,216","9,635","17,189","23,928","5,597","3,593",72,229,"1,987","6,688","1,195","3,033"
F2 Taronga Zoo,Sydney,Concession,"6,932","2,152","2,131","2,042","2,071","2,450","2,579","2,006","2,283","2,743","2,690","3,595","3,339","2,788","2,789","2,183","2,184","2,784","2,748","2,474","2,899","2,759","3,091","3,157","3,327","2,469","2,152","1,971","2,104","2,247","2,368","2,121","2,578","2,684","2,653","2,393","2,718","2,136","2,272","2,154","1,655","2,152","2,295","1,665","1,334",34,163,862,"1,174",893,"1,112"
F2 Taronga Zoo,Sydney,CTP,,,,,,,,,,,,,,,,,,,,,"1,068","1,339","1,171","1,913",903,895,864,"1,012","1,212","3,848","4,535","3,089","3,366","4,309","3,475","4,525","4,193","4,504","6,403","11,617","12,836","18,335","20,737","13,928","10,097",824,"1,840","5,573","7,032","5,519","6,732"
F2 Taronga Zoo,Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,90,201,24,,,,,,,,,
F2 Taronga Zoo,Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,14,49,3,2,,,,,,,
F2 Taronga Zoo,Sydney,Employee,363,288,245,334,349,301,354,252,283,357,351,418,327,282,331,373,338,350,495,349,348,358,334,403,338,228,263,235,303,361,362,274,284,347,351,386,314,218,231,302,358,304,277,232,115,27,20,87,154,97,176
F2 Taronga Zoo,Sydney,Free Travel,80,99,101,123,137,127,93,113,105,94,125,113,103,84,114,102,106,118,127,142,125,130,126,148,133,102,121,129,148,111,135,109,107,134,115,118,116,114,122,145,127,92,116,88,63,1,11,54,54,68,78
F2 Taronga Zoo,Sydney,School Student,14,38,30,11,32,6,1,11,14,6,11,19,5,5,6,6,11,8,2,28,31,15,23,32,12,64,48,39,58,18,6,68,80,23,65,56,25,86,61,43,64,101,37,401,397,,49,392,194,362,394
