State/ Territory,Postcode,<25,25-34,35-44,45-54,55-64,>65,Total,
ACT,2600,518,881,886,941,968,"1,452","5,646",
ACT,2601,751,969,377,271,247,205,"2,820",
ACT,2602,"2,496","4,851","4,059","3,510","2,577","2,431","19,924",
ACT,2603,747,"1,249","1,074","1,278","1,056","1,246","6,650",
ACT,2604,767,"2,307","1,582","1,375","1,057",896,"7,984",
ACT,2605,761,"1,101","1,431","1,554","1,180","1,547","7,574",
ACT,2606,696,"1,901","1,265",999,724,965,"6,550",
ACT,2607,"1,099","1,489","1,623","1,777","1,449","1,966","9,403",
ACT,2608,3,10,11,22,17,13,76,
ACT,2609,67,93,107,158,113,70,608,
ACT,2610,50,11,8,8,5,1,83,
ACT,2611,"1,837","3,918","4,082","3,257","2,405","3,222","18,721",
ACT,2612,"2,008","3,651","1,583","1,251","1,073","1,065","10,631",
ACT,2614,"1,427","2,280","2,506","2,195","1,686","2,492","12,586",
ACT,2615,"3,264","6,192","6,364","4,703","3,763","3,349","27,635",
ACT,2616,5,31,39,42,17,30,164,
ACT,2617,"3,283","5,997","4,126","2,936","2,828","2,591","21,761",
ACT,2900,137,415,274,190,186,204,"1,406",
ACT,2901,3,3,14,19,13,20,72,
ACT,2902,"1,076","1,635","1,881","1,745","1,641","1,549","9,527",
ACT,2903,692,"1,113","1,129","1,054","1,177",886,"6,051",
ACT,2904,"1,056","1,478","1,437","1,582","1,840","1,321","8,714",
ACT,2905,"2,801","4,000","3,422","3,662","3,311","1,376","18,572",
ACT,2906,"1,852","2,253","2,137","2,686","1,666",733,"11,327",
ACT,2911,268,"1,095",897,396,192,164,"3,012",
ACT,2912,595,"1,162",973,689,370,158,"3,947",
ACT,2913,"2,904","6,351","5,415","4,100","2,595","1,471","22,836",
ACT,2914,"2,014","4,681","5,248","2,898","1,164",498,"16,503",
ACT,ACT other,28,60,70,37,32,22,249,
NSW,1225,3,5,11,16,7,12,54,
NSW,1230,1,6,15,14,15,21,72,
NSW,1235,58,171,56,22,18,12,337,
NSW,1240,4,10,19,17,13,5,68,
NSW,1335,2,12,13,20,9,27,83,
NSW,1355,11,27,31,25,27,31,152,
NSW,1360,6,9,12,30,12,24,93,
NSW,1455,3,11,15,13,4,8,54,
NSW,1460,13,16,11,15,11,2,68,
NSW,1481,5,10,8,7,8,15,53,
NSW,1485,5,10,18,21,16,8,78,
NSW,1495,9,11,17,20,13,20,90,
NSW,1499,4,6,16,16,12,14,68,
NSW,1585,4,9,15,14,17,13,72,
NSW,1590,3,8,14,7,10,8,50,
NSW,1595,1,2,14,21,13,6,57,
NSW,1655,11,17,21,21,13,20,103,
NSW,1660,1,9,12,16,20,25,83,
NSW,1710,1,8,16,23,15,13,76,
NSW,1750,3,15,16,13,14,12,73,
NSW,1755,4,16,18,12,10,15,75,
NSW,1765,7,8,20,17,15,24,91,
NSW,1790,6,8,8,10,19,4,55,
NSW,1835,3,15,11,14,2,5,50,
NSW,1871,7,17,11,10,7,10,62,
NSW,1885,6,15,21,17,9,4,72,
NSW,2000,"4,944","10,977","3,862","1,902","1,437","1,337","24,459",
NSW,2001,27,69,72,67,65,81,381,
NSW,2002,23,29,23,8,8,4,95,
NSW,2006,8,21,14,14,8,3,68,
NSW,2007,"1,080","2,310",910,447,267,170,"5,184",
NSW,2008,"1,223","2,966","1,004",522,348,155,"6,218",
NSW,2009,988,"3,802","2,036","1,167",993,787,"9,773",
NSW,2010,"1,873","8,986","4,519","2,715","1,719",944,"20,756",
NSW,2011,"1,216","5,607","2,989","1,921","1,627","1,550","14,910",
