State/ Territory,Postcode,Region,"<18,200","18,201-37,000","37,001-80,000","80,001-180,000","> 180,000",">80,001",Total
ACT,800,na,753,743,"1,857","1,543",750,na,"5,646"
ACT,801,na,834,436,814,579,157,na,"2,820"
ACT,804,na,"3,026","3,398","7,579","4,907","1,014",na,"19,924"
ACT,810,na,794,852,"2,273","1,781",950,na,"6,650"
ACT,811,na,926,986,"3,004","2,437",631,na,"7,984"
ACT,812,na,"1,022","1,136","2,666","2,072",678,na,"7,574"
ACT,813,na,880,"1,109","2,859","1,416",286,na,"6,550"
ACT,814,na,"1,360","1,581","3,674","2,300",488,na,"9,403"
ACT,820,na,15,10,30,15,6,na,76
ACT,821,na,89,118,279,97,25,na,608
ACT,822,na,6,10,58,na,na,9,83
ACT,828,na,"2,394","2,942","7,808","4,800",777,na,"18,721"
ACT,829,na,"1,578","1,647","4,265","2,547",594,na,"10,631"
ACT,830,na,"1,872","2,205","5,108","2,908",493,na,"12,586"
ACT,831,na,"3,629","4,855","13,025","5,693",433,na,"27,635"
ACT,832,na,27,18,59,55,5,na,164
ACT,834,na,"3,448","4,026","9,352","4,413",522,na,"21,761"
ACT,835,na,162,231,633,341,39,na,"1,406"
ACT,836,na,7,14,30,na,na,21,72
ACT,837,na,"1,324","1,750","4,134","2,065",254,na,"9,527"
ACT,838,na,859,"1,054","2,656","1,342",140,na,"6,051"
ACT,839,na,"1,094","1,395","3,818","2,119",288,na,"8,714"
ACT,840,na,"2,282","3,202","8,850","3,887",351,na,"18,572"
ACT,841,na,"1,333","1,919","5,389","2,475",211,na,"11,327"
ACT,845,na,364,383,"1,341",829,95,na,"3,012"
ACT,846,na,652,752,"1,651",810,82,na,"3,947"
ACT,847,na,"3,167","3,740","10,140","5,130",659,na,"22,836"
ACT,850,na,"2,161","2,568","7,084","4,271",419,na,"16,503"
ACT,851,na,41,49,111,40,8,na,249
NSW,852,na,12,1,16,13,12,na,54
NSW,853,na,14,16,20,15,7,na,72
NSW,854,na,137,129,50,14,7,na,337
NSW,860,na,21,14,16,10,7,na,68
NSW,861,na,13,15,32,16,7,na,83
NSW,862,na,43,31,37,27,14,na,152
NSW,870,na,16,12,27,16,22,na,93
NSW,871,na,12,9,21,na,na,12,54
NSW,872,na,5,20,31,na,na,12,68
NSW,873,na,12,14,19,na,na,8,53
NSW,874,na,16,20,27,na,na,15,78
NSW,875,na,19,16,27,22,6,na,90
NSW,880,na,17,11,27,na,na,13,68
NSW,881,na,15,13,21,na,na,23,72
NSW,885,na,14,3,14,10,9,na,50
NSW,886,na,8,3,19,16,11,na,57
NSW,1225,na,25,23,27,18,10,na,103
NSW,1230,na,26,20,15,14,8,na,83
NSW,1235,na,20,13,20,17,6,na,76
NSW,1240,na,10,13,35,na,na,15,73
NSW,1335,na,20,10,28,na,na,17,75
NSW,1355,na,16,16,37,14,8,na,91
NSW,1360,na,7,10,25,na,na,13,55
NSW,1455,na,9,17,21,na,na,3,50
NSW,1460,na,17,6,30,na,na,9,62
NSW,1481,na,15,21,27,na,na,9,72
NSW,1485,na,"8,301","6,395","5,711","2,554","1,498",na,"24,459"
NSW,1495,na,96,75,88,62,60,na,381
NSW,1499,na,48,16,20,6,5,na,95
NSW,1585,na,13,14,15,19,7,na,68
NSW,1590,na,"1,710","1,248","1,430",665,131,na,"5,184"
NSW,1595,na,"1,570","1,359","2,110",968,211,na,"6,218"
NSW,1655,na,"1,960","1,823","3,111","2,046",833,na,"9,773"
NSW,1660,na,"3,335","3,726","7,154","4,782","1,759",na,"20,756"
NSW,1710,na,"2,268","2,376","5,370","3,451","1,445",na,"14,910"
NSW,1750,na,19,23,54,32,11,na,139
NSW,1755,na,12,19,32,na,na,23,86
NSW,1765,na,9,10,42,26,5,na,92
NSW,1790,na,906,"1,112","3,223","2,075",473,na,"7,789"
NSW,1835,na,"1,314","1,617","3,519","2,054",493,na,"8,997"
NSW,1871,na,"2,553","2,607","5,861","3,324",580,na,"14,925"
NSW,1885,na,"1,805","2,149","4,081","1,651",263,na,"9,949"
NSW,2000,Sydney,884,"1,215","3,039","1,471",196,na,"6,805"
NSW,2001,Sydney,"1,920","2,208","4,702","1,864",237,na,"10,931"
NSW,2002,Sydney,"1,459","1,716","3,637","2,644","1,623",na,"11,079"
NSW,2006,Western Sydney,"1,691","1,855","3,163","1,897",937,na,"9,543"
NSW,2007,Western Sydney,"1,070","1,118","2,272","1,669","1,325",na,"7,454"
NSW,2008,Eastern Sydney,"1,058","1,247","2,536","1,756","1,053",na,"7,650"
NSW,2009,Eastern Sydney,837,829,"1,560","1,245",893,na,"5,364"
NSW,2010,Eastern Sydney,"4,171","4,459","8,324","5,559","2,368",na,"24,881"
NSW,2011,Eastern Sydney,815,888,"1,732","1,524","1,130",na,"6,089"
NSW,2012,Eastern Sydney,463,537,"1,139",855,511,na,"3,505"
NSW,2013,Eastern Sydney,"1,003","1,192","2,351","1,537",938,na,"7,021"
NSW,2014,Eastern Sydney,"1,493","1,692","2,849","2,059","1,863",na,"9,956"
NSW,2015,Eastern Sydney,"3,364","3,860","8,693","5,442","2,066",na,"23,425"
NSW,2016,Eastern Sydney,"1,886","1,856","2,984","1,366",403,na,"8,495"
NSW,2017,Eastern Sydney,"1,555","1,431","2,603","1,357",434,na,"7,380"
NSW,2018,Eastern Sydney,"2,013","2,383","5,228","3,476","1,356",na,"14,456"
NSW,2019,Eastern Sydney,"3,850","4,209","7,976","4,278","1,321",na,"21,634"
NSW,2020,Eastern Sydney,"2,847","3,485","6,958","3,075",722,na,"17,087"
NSW,2021,Eastern Sydney,"1,924","2,009","3,587","2,137",826,na,"10,483"
NSW,2022,Eastern Sydney,860,951,"2,216","1,525",653,na,"6,205"
NSW,2023,Eastern Sydney,794,826,"1,851","1,660",812,na,"5,943"
NSW,2024,Eastern Sydney,"1,754","2,165","4,734","3,486","1,310",na,"13,449"
NSW,2025,Eastern Sydney,"1,522","1,648","3,259","2,770","1,889",na,"11,088"
NSW,2026,Eastern Sydney,"1,935","2,356","5,476","2,945",691,na,"13,403"
NSW,2027,Eastern Sydney,565,763,"2,499","1,891",339,na,"6,057"
NSW,2028,Eastern Sydney,679,"1,018","2,301","1,143",164,na,"5,305"
NSW,2029,Eastern Sydney,616,825,"1,317",813,471,na,"4,042"
NSW,2030,Eastern Sydney,"2,476","3,070","5,845","3,909","1,355",na,"16,655"
NSW,2031,Eastern Sydney,"1,151","1,303","2,648","1,976",842,na,"7,920"
NSW,2032,Eastern Sydney,676,950,"2,057","1,211",348,na,"5,242"
NSW,2033,Eastern Sydney,"1,096","1,376","3,055","1,638",428,na,"7,593"
NSW,2034,Eastern Sydney,837,912,"2,074","1,540",366,na,"5,729"
NSW,2035,Eastern Sydney,67,26,18,na,na,6,117
NSW,2036,Eastern Sydney,39,42,60,39,25,na,205
NSW,2037,Western Sydney,26,39,69,61,30,na,225
NSW,2038,Western Sydney,"1,641","1,608","3,628","2,865","1,228",na,"10,970"
NSW,2039,Western Sydney,670,669,"1,327","1,202",699,na,"4,567"
NSW,2040,Western Sydney,607,737,"1,481","1,304",623,na,"4,752"
NSW,2041,Western Sydney,707,671,"1,094",892,897,na,"4,261"
NSW,2042,Western Sydney,"1,082","1,115","2,208","1,431",515,na,"6,351"
NSW,2043,Western Sydney,"2,944","3,100","7,395","5,896","2,360",na,"21,695"
