Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Southern Sydney,Adult,"7,686","8,151","8,535","8,638","8,224","8,320","8,025","8,177","9,829","8,928","8,899","9,079","9,849","9,422","8,803","9,349","9,737","9,068","4,444","8,858","9,875","9,107","10,485","9,177","10,488","11,438","10,688","11,003","11,166","10,019","10,123","10,948","12,260","11,124","12,053","10,670","11,598","11,029","9,642","10,748","10,564","9,411","9,301","9,054","5,985","1,184","1,855","3,076","3,506","2,909","3,192"
Southern Sydney,Child/Youth,"1,292","1,244","1,187","1,087",837,"1,028","1,066",796,935,"1,119",784,835,"1,207",846,911,"1,026",924,"1,105",551,798,842,"1,006",890,748,"1,036",777,915,"1,008",833,974,"1,134",851,917,"1,089",896,924,"1,088",933,824,"1,155","1,112","1,122","1,206",694,480,119,232,471,489,397,375
Southern Sydney,Concession,482,636,600,659,503,532,448,675,870,673,695,686,598,768,756,698,621,584,247,532,747,636,668,597,469,593,557,583,520,424,336,511,711,528,623,537,475,668,575,636,483,421,379,500,383,58,132,227,268,323,323
Southern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,36,109,164,139,164,155,227,235,412,535,634,743,967,"1,010","1,012",919,"1,075","1,273","1,263","1,843","2,272","2,322","2,445","2,511","1,664",383,592,"1,135","1,395","1,235","1,393"
Southern Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,13,29,46,30,10,19,25,22,16,24,18,22,26,14,20,15,11,14,7,7,2,1,3,5,15,10
Southern Sydney,Free Travel,16,12,16,18,12,13,2,5,2,4,4,1,1,8,3,14,19,17,12,12,17,14,18,13,20,24,14,13,20,13,19,24,10,19,23,10,16,19,20,14,21,15,18,18,13,2,2,6,9,7,10
Southern Sydney,School Student,66,330,246,232,287,72,11,319,337,114,296,236,175,417,280,216,337,105,21,347,243,126,391,317,142,453,361,249,462,123,35,515,558,295,636,427,238,550,499,369,555,203,95,782,547,4,223,572,278,594,487
Southern Sydney,Senior/Pensioner,848,888,851,924,774,888,797,778,890,890,871,967,964,861,809,862,932,945,473,902,"1,114",963,"1,022",903,979,986,962,"1,002","1,090","1,112",968,"1,080","1,167","1,139","1,223","1,134","1,226","1,197","1,088","1,294","1,236","1,249","1,173","1,093",716,175,266,513,522,480,586
Southern Sydney,Sgl Trip LR Adult,30,28,47,53,24,68,59,33,43,58,33,46,77,53,61,73,86,119,36,82,59,66,66,58,54,49,51,53,,1,1,,3,2,1,,,,,1,1,,,,,,,,,,
Southern Sydney,Sgl Trip LR Child/Youth,12,23,26,30,6,37,33,5,10,33,18,28,38,13,31,28,20,31,18,20,24,37,21,15,24,13,11,17,,1,2,,12,1,2,1,4,1,,,,,,,,,,,,,
Northern Sydney,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,503","43,514","42,587","26,819","3,653","6,867","11,763","16,595","16,496","17,818"
