Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Western Sydney,Adult,"8,575,135","9,484,134","8,956,112","8,778,524","9,221,978","8,036,202","7,774,754","8,446,672","9,994,667","8,111,738","10,184,630","9,333,731","9,247,078","9,969,136","9,473,985","9,648,065","8,131,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,Child/Youth,"432,083","370,300","425,154","438,430","404,288","505,401","552,039","394,228","426,221","506,330","377,342","421,819","543,192","385,194","478,539","454,655","347,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,Concession,"790,206","1,081,373","855,554","839,434","677,907","524,749","488,489","607,040","1,187,470","824,351","1,110,089","775,525","679,908","1,147,815","894,566","908,252","607,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,3,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,9,78,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,Employee,"101,255","118,953","116,703","110,616","121,988","107,270","97,568","110,490","128,093","97,808","127,495","118,098","109,516","119,095","107,264","106,065","91,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,Free Travel,"9,429","11,477","11,259","11,744","12,608","10,920","9,976","11,494","13,291","11,147","13,745","12,203","12,363","13,432","11,721","11,424","9,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,School Student,"217,702","502,695","375,289","338,381","456,338","174,567","30,356","464,128","555,627","191,132","572,689","467,968","249,878","548,932","370,025","369,623","393,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sydney,Senior/Pensioner,"880,165","986,891","958,036","971,764","1,002,122","923,518","852,475","892,348","1,021,345","885,705","1,030,781","969,060","963,069","997,504","962,646","975,085","832,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Western Sydney,Sgl Trip Rail Adult,"20,587","79,617","80,999","80,716","82,110","94,943","76,493","72,444","82,624","76,315","76,555","76,471","85,059","84,262","84,439","86,835","74,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Western Sydney,Sgl Trip Rail Child/Youth,"7,516","19,407","23,395","22,204","18,246","29,155","28,172","15,911","19,197","26,095","18,311","21,146","30,435","21,061","25,091","23,503","16,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
